tiempo_ms,adc,voltaje,humedad
0,2845,2.29,19
200,2831,2.28,20
400,2819,2.27,21
600,2798,2.25,22
800,2776,2.24,23
1000,2754,2.22,24
1200,2731,2.20,25
1400,2709,2.18,27
1600,2688,2.17,28
1800,2665,2.15,29
2000,2643,2.13,31
2200,2621,2.11,32
2400,2598,2.09,34
2600,2574,2.07,35
2800,2551,2.05,37
3000,2528,2.04,38
3200,2504,2.02,40
3400,2481,2.00,41
3600,2457,1.98,43
3800,2433,1.96,44
4000,2409,1.94,46
500,2554,2.06,24
699,2534,2.04,25
899,2559,2.06,24
1099,2543,2.05,25
1299,2538,2.05,25
1499,2519,2.03,26
1699,2553,2.06,24
1899,2559,2.06,24
2099,2559,2.06,24
2299,2514,2.03,26
2499,2517,2.03,26
2699,2528,2.04,26
2899,2553,2.06,24
3099,2554,2.06,24
3299,2555,2.06,24
3499,2531,2.04,25
3699,2538,2.05,25
3899,2559,2.06,24
4099,2559,2.06,24
4299,2559,2.06,24
4499,2529,2.04,25
4699,2550,2.05,25
4899,2544,2.05,25
5099,2589,2.09,23
5299,2526,2.04,26
5499,2547,2.05,25
5699,2546,2.05,25
5899,2554,2.06,24
6099,2555,2.06,24
6299,2541,2.05,25
6499,2542,2.05,25
6699,2544,2.05,25
6899,2541,2.05,25
7099,2527,2.04,26
7299,2543,2.05,25
7499,2535,2.04,25
7699,2532,2.04,25
7899,2540,2.05,25
8099,2533,2.04,25
8299,2544,2.05,25
8499,2525,2.03,26
8699,2544,2.05,25
8899,2525,2.03,26
9099,2559,2.06,24
9299,2558,2.06,24
9499,2544,2.05,25
9699,2541,2.05,25
9899,2544,2.05,25
10099,2559,2.06,24
10299,2546,2.05,25
10499,2554,2.06,24
10699,2544,2.05,25
10899,2535,2.04,25
11099,2533,2.04,25
11299,2497,2.01,27
11499,2450,1.97,29
11699,2373,1.91,33
11899,2342,1.89,34
12099,2354,1.9,33
12299,2353,1.9,33
12499,2301,1.85,36
12699,2352,1.9,34
12899,2281,1.84,37
13099,2247,1.81,38
13299,2224,1.79,39
13499,2268,1.83,37
13699,2082,1.68,46
13899,1616,1.3,67
14099,1457,1.17,74
14299,1390,1.12,77
14499,1307,1.05,81
14699,1183,0.95,87
14899,1243,1.0,84
15099,1169,0.94,87
15299,1235,1.0,84
15499,1197,0.96,86
15699,1235,1.0,84
15899,1247,1.0,84
16099,1200,0.97,86
16299,1148,0.93,88
16499,1271,1.02,83
16699,1344,1.08,79
16899,1232,0.99,84
17099,1275,1.03,82
17299,1165,0.94,87
17499,1261,1.02,83
17699,1355,1.09,79
17899,1311,1.06,81
18099,1216,0.98,85
18299,1268,1.02,83
18499,1296,1.04,82
